         in int              in bit       out real    out sim int         out sim bit          error
            -90            10100110         -128.0           -128            10000000            0.0
            -41            11010111         -128.0           -128            10000000            0.0
            120            01111000          127.0            127            01111111            0.0
             20            00010100          127.0            127            01111111            0.0
             88            01011000          127.0            127            01111111            0.0
            -68            10111100           57.0             57            00111001            0.0
           -105            10010111         -128.0           -128            10000000            0.0
             12            00001100         -128.0           -128            10000000            0.0
           -119            10001001         -128.0           -128            10000000            0.0
             39            00100111         -128.0           -128            10000000            0.0
            -78            10110010          -58.5            -58            11000110           -0.5
            -86            10101010         -128.0           -128            10000000            0.0
             39            00100111        -103.75           -103            10011001          -0.75
             18            00010010          109.5            110            01101110           -0.5
            -77            10110011         -98.75            -98            10011110          -0.75
             77            01001101         -19.25            -19            11101101          -0.25
            -94            10100010          -10.5            -10            11110110           -0.5
             64            01000000          -76.0            -76            10110100            0.0
           -126            10000010          -92.5            -92            10100100           -0.5
            -18            11101110         -128.0           -128            10000000            0.0
            -48            11010000         -120.0           -120            10001000            0.0
             19            00010011         -62.75            -62            11000010          -0.75
            -51            11001101         -51.25            -51            11001101          -0.25
            -81            10101111         -128.0           -128            10000000            0.0
             62            00111110          -53.5            -53            11001011           -0.5
            -29            11100011          73.25             74            01001010          -0.75
             32            00100000           -2.0             -2            11111110            0.0
             22            00010110          102.5            103            01100111           -0.5
           -114            10001110         -128.0           -128            10000000            0.0
            -75            10110101         -128.0           -128            10000000            0.0
             52            00110100          -59.0            -59            11000101            0.0
            100            01100100          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
           -115            10001101         -60.25            -60            11000100          -0.25
            -50            11001110         -128.0           -128            10000000            0.0
             35            00100011         -38.75            -38            11011010          -0.75
            -68            10111100          -49.0            -49            11001111            0.0
             52            00110100          -45.0            -45            11010011            0.0
             81            01010001          127.0            127            01111111            0.0
             62            00111110          127.0            127            01111111            0.0
              6            00000110          127.0            127            01111111            0.0
             66            01000010          127.0            127            01111111            0.0
            -37            11011011          67.25             68            01000100          -0.75
            -73            10110111         -128.0           -128            10000000            0.0
            -89            10100111         -128.0           -128            10000000            0.0
             24            00011000         -128.0           -128            10000000            0.0
            -62            11000010          -60.5            -60            11000100           -0.5
            112            01110000           72.0             72            01001000            0.0
             14            00001110          127.0            127            01111111            0.0
            107            01101011          127.0            127            01111111            0.0
            -86            10101010          -29.5            -29            11100011           -0.5
           -120            10001000         -128.0           -128            10000000            0.0
             34            00100010         -128.0           -128            10000000            0.0
            113            01110001          127.0            127            01111111            0.0
            105            01101001          127.0            127            01111111            0.0
            -85            10101011         -31.75            -31            11100001          -0.75
             63            00111111         -59.75            -59            11000101          -0.75
            100            01100100          127.0            127            01111111            0.0
            103            01100111          127.0            127            01111111            0.0
            -11            11110101          93.75             94            01011110          -0.25
             74            01001010          107.5            108            01101100           -0.5
            -27            11100101         100.75            101            01100101          -0.25
             10            00001010          -36.5            -36            11011100           -0.5
            -90            10100110         -128.0           -128            10000000            0.0
             63            00111111         -69.75            -69            10111011          -0.75
            -76            10110100           -7.0             -7            11111001            0.0
            -73            10110111         -128.0           -128            10000000            0.0
             15            00001111        -119.75           -119            10001001          -0.75
             19            00010011          63.25             64            01000000          -0.75
            -28            11100100          -11.0            -11            11110101            0.0
             64            01000000           56.0             56            00111000            0.0
             96            01100000          127.0            127            01111111            0.0
             16            00010000          127.0            127            01111111            0.0
             37            00100101          96.75             97            01100001          -0.25
           -115            10001101        -127.25           -127            10000001          -0.25
            -83            10101101         -128.0           -128            10000000            0.0
            -82            10101110         -128.0           -128            10000000            0.0
             46            00101110          -83.5            -83            10101101           -0.5
            -91            10100101         -67.25            -67            10111101          -0.25
             46            00101110         -101.5           -101            10011011           -0.5
            109            01101101          127.0            127            01111111            0.0
             85            01010101          127.0            127            01111111            0.0
             -6            11111010          127.0            127            01111111            0.0
             17            00010001          17.75             18            00010010          -0.25
            -92            10100100         -127.0           -127            10000001            0.0
            -53            11001011         -128.0           -128            10000000            0.0
             17            00010001         -76.25            -76            10110100          -0.25
             67            01000011          127.0            127            01111111            0.0
             83            01010011          127.0            127            01111111            0.0
            113            01110001          127.0            127            01111111            0.0
            -73            10110111           5.25              6            00000110          -0.75
            -29            11100011         -128.0           -128            10000000            0.0
            -12            11110100          -79.0            -79            10110001            0.0
            101            01100101          127.0            127            01111111            0.0
            -22            11101010           70.5             71            01000111           -0.5
             83            01010011         101.25            102            01100110          -0.75
              9            00001001          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
             30            00011110          127.0            127            01111111            0.0
            -33            11011111           2.25              3            00000011          -0.75
           -104            10011000         -128.0           -128            10000000            0.0
             14            00001110         -128.0           -128            10000000            0.0
             99            01100011          127.0            127            01111111            0.0
            -29            11100011          127.0            127            01111111            0.0
            102            01100110          120.5            121            01111001           -0.5
             24            00011000          127.0            127            01111111            0.0
             54            00110110          127.0            127            01111111            0.0
             76            01001100          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
             50            00110010          127.0            127            01111111            0.0
            -87            10101001         -52.25            -52            11001100          -0.25
            118            01110110           32.5             33            00100001           -0.5
             80            01010000          127.0            127            01111111            0.0
              9            00001001          127.0            127            01111111            0.0
             53            00110101         110.75            111            01101111          -0.25
            -22            11101010           67.5             68            01000100           -0.5
           -100            10011100         -128.0           -128            10000000            0.0
            -32            11100000         -128.0           -128            10000000            0.0
            104            01101000          118.0            118            01110110            0.0
            123            01111011          127.0            127            01111111            0.0
             19            00010011          127.0            127            01111111            0.0
            -23            11101001          -2.25             -2            11111110          -0.25
           -126            10000010         -128.0           -128            10000000            0.0
            -98            10011110         -128.0           -128            10000000            0.0
             52            00110100         -105.0           -105            10010111            0.0
            -94            10100010          -60.5            -60            11000100           -0.5
           -114            10001110         -128.0           -128            10000000            0.0
             17            00010001         -128.0           -128            10000000            0.0
             38            00100110          100.5            101            01100101           -0.5
             85            01010101          127.0            127            01111111            0.0
            -86            10101010           19.5             20            00010100           -0.5
             51            00110011         -82.75            -82            10101110          -0.75
             58            00111010          127.0            127            01111111            0.0
             94            01011110          127.0            127            01111111            0.0
           -103            10011001           7.75              8            00001000          -0.25
            -81            10101111         -128.0           -128            10000000            0.0
             67            01000011         -44.75            -44            11010100          -0.75
             -2            11111110          127.0            127            01111111            0.0
            115            01110011          127.0            127            01111111            0.0
            121            01111001          127.0            127            01111111            0.0
            -31            11100001          94.75             95            01011111          -0.25
            -17            11101111         -91.75            -91            10100101          -0.75
           -112            10010000         -128.0           -128            10000000            0.0
             23            00010111         -128.0           -128            10000000            0.0
             79            01001111          127.0            127            01111111            0.0
            -25            11100111         114.25            115            01110011          -0.75
            -71            10111001         -128.0           -128            10000000            0.0
             30            00011110          -89.5            -89            10100111           -0.5
           -106            10010110         -125.5           -125            10000011           -0.5
             91            01011011         -52.75            -52            11001100          -0.75
            -57            11000111          82.25             83            01010011          -0.75
            -18            11101110         -128.0           -128            10000000            0.0
            -97            10011111         -128.0           -128            10000000            0.0
            -71            10111001         -128.0           -128            10000000            0.0
             85            01010101           6.75              7            00000111          -0.25
             84            01010100          127.0            127            01111111            0.0
            -29            11100011         117.25            118            01110110          -0.75
            -97            10011111         -128.0           -128            10000000            0.0
           -124            10000100         -128.0           -128            10000000            0.0
            -89            10100111         -128.0           -128            10000000            0.0
            -70            10111010         -128.0           -128            10000000            0.0
            -91            10100101         -128.0           -128            10000000            0.0
             45            00101101        -103.25           -103            10011001          -0.25
             73            01001001          127.0            127            01111111            0.0
            -28            11100100           97.0             97            01100001            0.0
            -32            11100000         -112.0           -112            10010000            0.0
             46            00101110           16.5             17            00010001           -0.5
